id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
39570098,Beautiful room in a great location,10680903,Yolanda,Hendaye,Hendaye,43.36961,-1.75472,Private room,70,2,0,,,4,3,0,
39577341,Belle propriété à 2 min de la plage d'Hendaye,263601548,Laila,Hendaye,Hendaye,43.37318,-1.75934,Entire home/apt,150,6,28,2023-11-02,0.54,1,330,4,64260001428FD
40780829,F4 labourdineXVIIe 3* vue panoramique mer montagne,31172916,Patricia,Hendaye,Urrugne,43.35039,-1.73248,Entire home/apt,70,4,0,,,5,217,0,64545000231AC
40839677,Charmant Studio Moderne avec Balcon,315614123,Nathalie Et Franck,Biarritz,Biarritz,43.48247,-1.549,Entire home/apt,81,2,50,2023-12-10,0.97,2,306,12,6412200175229
39578572,Appartement avec Terrasse Centre de Biarritz,135540085,Frederique,Biarritz,Biarritz,43.48021,-1.5584,Entire home/apt,85,7,32,2023-09-02,0.70,2,125,13,6412200201559
39593766,Beautiful room in a great location,10680903,Yolanda,Hendaye,Hendaye,43.37033,-1.75397,Private room,70,2,0,,,4,2,0,
39605059,"Villa année 30, piscine, 5min à pieds plages &golf",28606437,Matthieu,Anglet,Anglet,43.517507,-1.521573,Entire home/apt,350,7,5,2021-07-24,0.11,1,325,0,6402400171448
40851523,"Appt  T2  à 200 m de l'Océan,  2 pers, Wifi inclus",182444489,Valerie,Saint-Jean-de-Luz,Bidart,43.4408,-1.58833,Entire home/apt,85,7,43,2023-08-19,0.93,2,51,5,6412500079815
39618750,"Apartamento con 3 habitaciones, cocina y piscina",10680903,Yolanda,Hendaye,Hendaye,43.36969,-1.75483,Entire home/apt,220,2,7,2023-07-29,0.21,4,137,1,64260000965C3
40862561,"Beautiful, cosy duplex in the heart of Anglet",15331530,Sylvain,Anglet,Anglet,43.49505,-1.52999,Entire home/apt,160,7,4,2021-08-28,0.09,1,267,0,6402400006526
39626439,Easy Clés- Amazing Villa with heated pool A C,11752422,Manu,Anglet,Anglet,43.4930935,-1.533597900000018,Entire home/apt,380,4,10,2023-09-02,0.31,19,98,5,6402400061829
40866587,Suite avec salle d'eau cuisine et entrée privative,45714295,Vincent,Saint-Pierre-d'Irube,Saint-Pierre-d'Irube,43.45379,-1.43093,Private room,39,3,47,2024-03-10,0.96,1,44,26,
39643943,"T2 calme avec place de parking près mer, montagnes",304635291,Oihan,Hendaye,Hendaye,43.35051,-1.77949,Entire home/apt,70,2,77,2024-02-25,1.46,1,244,22,642600002965B
40866745,Studio + terrasse 3*** Côte Basque Océan/Montagne,18042923,Cephiclo,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.35538,-1.57101,Entire home/apt,41,3,67,2023-11-03,1.48,3,214,23,
39667226,Belle villa Biarritz centre ville et plage à pieds,304858776,Marie Pierre,Biarritz,Biarritz,43.47642,-1.56502,Entire home/apt,,3,1,2020-09-05,0.02,1,363,0,64122171164TS
40920562,NVEAU Gîte T4 terrasse 3 étoiles - Océan/Montagne,18042923,Cephiclo,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.35538,-1.57101,Entire home/apt,69,14,13,2023-11-05,0.30,3,119,2,06401064495210002
40921453,Gîte + terrasse 3 étoiles (T2) - Océan/Montagne,18042923,Cephiclo,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.35538,-1.57101,Entire home/apt,41,2,38,2024-03-17,0.89,3,253,21,06401064495200075
40932124,Studio 24m2 Proche Plages Chambre d'Amour,35759134,Karine,Anglet,Anglet,43.49491,-1.53545,Entire home/apt,99,5,27,2023-08-14,0.59,2,258,7,640240013749D
39679163,Centre historique Cathédrale centre ville Bayonne,94581937,David,Bayonne,Bayonne,43.48936,-1.47266,Entire home/apt,100,5,23,2023-09-01,0.51,1,261,5,64102000418DE
40937556,STUDIO 13M2 + TERRASSE 20M2 A 30M DE LA MER,318947216,Marylène,Hendaye,Ciboure,43.38908,-1.68488,Entire home/apt,49,2,42,2024-01-04,0.94,1,69,7,641890003794F
39680260,Superbe appartement à Anglet avec vue sur l'Océan,132801404,Didier,Anglet,Anglet,43.49914,-1.53938,Entire home/apt,120,6,44,2023-09-16,0.86,1,68,11,640240004285B
40941727,Charmant Studio proche des plages et du centre,19821988,Mathieu Et Cécile,Biarritz,Biarritz,43.48507,-1.54789,Entire home/apt,57,3,186,2024-02-25,4.04,1,293,44,641220014583E
39683987,Appartement à Bidart à 5min de Biarritz,53460606,Laetitia,Ustaritz,Arbonne,43.44288,-1.54604,Entire home/apt,89,7,15,2023-08-26,0.34,1,2,4,64125000685C1
40960659,T3 de charme terrasse indépendante ds ferme XVIIè,31172916,Patricia,Hendaye,Urrugne,43.35064,-1.73306,Entire home/apt,65,2,0,,,5,145,0,64545000232B2
40964087,"T3 entier 3*, 350m de l'Océan, piscine et parking",286596584,Sandrine,Hendaye,Hendaye,43.37228,-1.76524,Entire home/apt,89,3,19,2023-09-18,0.42,1,109,7,6426000104344
39725529,LE STUDIO de Biarritz Port-Vieux 50m de la PLAGE🏝,305327776,Aline Et Gilles,Biarritz,Biarritz,43.48088,-1.5648,Entire home/apt,56,1,244,2024-03-08,4.59,1,166,46,641220012142B
40969052,"Studio ""Le Corail"" Anglet avec Spa Jacuzzi",53721812,Maud & Kévin,Anglet,Anglet,43.50479,-1.50433,Entire home/apt,44,3,71,2024-03-14,1.37,2,18,3,64024002127AA
39737504,2-Room Apartment 5 People - Comfort,153084198,Maeva,Saint-Jean-Pied-de-Port,Saint-Jean-Pied-de-Port,43.16443,-1.24173,Entire home/apt,,1,0,,,20,365,0,
40980184,Charme Lumineux Piscine Plage Golf St Jean de LuzD,299185555,Isabelle,Hendaye,Ciboure,43.38175,-1.66176,Entire home/apt,80,4,13,2024-01-02,0.25,3,189,6,641890001037B
39738353,2-Room Apartment 5 People - Comfort,153086583,Maeva,Saint-Jean-Pied-de-Port,Uhart-Cize,43.16395,-1.24201,Entire home/apt,,1,0,,,35,365,0,
41004735,STUDIO-GR10-HRP-Compostel//Gîte Erribera//BIDARRAY,87632402,Yoann,Saint-Ãtienne-de-BaÃ¯gorry,Bidarray,43.26499,-1.34894,Entire home/apt,66,1,43,2024-03-20,0.95,4,139,14,
